feature_1,feature_2,pearson_r
map_max_was_measured,diastolic_bp_mean_was_measured,1.0
map_max_was_measured,diastolic_bp_first_was_measured,1.0
map_min_was_measured,systolic_bp_max_was_measured,0.9991
map_min_was_measured,systolic_bp_min_was_measured,0.9991
map_min_was_measured,systolic_bp_mean_was_measured,0.9991
map_min_was_measured,systolic_bp_first_was_measured,0.9991
map_min_was_measured,diastolic_bp_max_was_measured,1.0
map_min_was_measured,diastolic_bp_min_was_measured,1.0
map_min_was_measured,diastolic_bp_mean_was_measured,1.0
map_min_was_measured,diastolic_bp_first_was_measured,1.0
map_min_was_measured,map_max_was_measured,1.0
map_mean_was_measured,systolic_bp_max_was_measured,0.9991
map_mean_was_measured,systolic_bp_min_was_measured,0.9991
map_mean_was_measured,systolic_bp_mean_was_measured,0.9991
map_mean_was_measured,systolic_bp_first_was_measured,0.9991
map_mean_was_measured,diastolic_bp_max_was_measured,1.0
map_mean_was_measured,diastolic_bp_min_was_measured,1.0
map_mean_was_measured,diastolic_bp_mean_was_measured,1.0
map_mean_was_measured,diastolic_bp_first_was_measured,1.0
map_mean_was_measured,map_max_was_measured,1.0
map_mean_was_measured,map_min_was_measured,1.0
map_first_was_measured,systolic_bp_max_was_measured,0.9991
map_first_was_measured,systolic_bp_min_was_measured,0.9991
map_first_was_measured,systolic_bp_mean_was_measured,0.9991
map_first_was_measured,systolic_bp_first_was_measured,0.9991
map_first_was_measured,diastolic_bp_max_was_measured,1.0
map_first_was_measured,diastolic_bp_min_was_measured,1.0
map_first_was_measured,diastolic_bp_mean_was_measured,1.0
map_first_was_measured,diastolic_bp_first_was_measured,1.0
map_first_was_measured,map_max_was_measured,1.0
map_first_was_measured,map_min_was_measured,1.0
map_first_was_measured,map_mean_was_measured,1.0
map_count,systolic_bp_count,0.9998
map_count,diastolic_bp_count,1.0
wbc_trend_was_measured,platelets_trend_was_measured,0.9982
n_positive_cultures,n_cultures_24h,0.9945
