feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
spo2_max,0.0057642872173103,0.009765283141945717,0.012049965732413683,0.011959168074100246,0.011092030966517688
sbp_abnormal_for_age,0.005745034418647764,0.006817222122190288,0.008989882604143191,0.00879233486029611,0.015759978427137892
sodium_first,0.005700210955861812,0.012013403607472824,0.01057247990903217,0.01294741419869968,0.010943693279099248
gender,0.005675162283789718,0.015413845625196699,0.008826260129456974,0.008771670918858,0.013082525724034975
ddimer_max,0.00559748897214918,0.008059234425186874,0.006323566376011416,0.018934034818699215,0.012586719524205144
ldh_min,0.005566806197974528,0.0066640205624165245,0.009739063326202774,0.013866855217002101,0.012116995805059405
glucose_min,0.005440712153955932,0.008324323827646477,0.018067562188319217,0.009535733307469874,0.005845796891325228
bilirubin_mean,0.005347877888981943,0.007238396258346563,0.011430502642909932,0.005008545111196537,0.013191098356432071
fibrinogen_first,0.005303736174763169,0.015406166619179758,0.003118967136400219,0.017352632992014297,0.012356823427675441
anion_gap_mean,0.005257996097708774,0.012379211024987775,0.008353258901497443,0.008536751184738147,0.012345456566317983
alt_min,0.005178476784162156,0.007615219055879942,0.007929970752747583,0.015341466005853425,0.010775857831796468
spo2_mean,0.005027122536767119,0.00572409578098162,0.01814092157744276,0.00513540039056936,0.006313736443642282
spo2_lab_first,0.004965128895219764,0.011453422457636201,0.007669588123985518,0.010784672414041808,0.010751400093049066
creatinine_trend,0.0049532019364337335,0.021380515059740014,0.005199128989260778,0.013840563737049782,0.00861463742535807
base_excess_mean,0.0048238111233396205,0.011706401601830844,0.009290021349623865,0.012587766008811434,0.007836780765104025
alt_max,0.004594503925684936,0.006132035097296569,0.0077172206401239654,0.013986924368635663,0.009007818558803584
wbc_mean,0.0043062868837245765,0.007190444083066823,0.007959741364826174,0.010158654044960067,0.008671931021343797
albumin_min,0.004270891081068673,0.008353452419716734,0.0057548672724426105,0.007159108289926659,0.011286962273875881
crp_mean,0.004091474339469236,0.007636869770450175,0.0068019360426399755,0.012395318849405637,0.007480843998078866
potassium_min,0.003977395114790243,0.009259033655968467,0.007861647663594224,0.00884956873552983,0.007055483007822025
pco2_mean,0.003826380239023214,0.00611599549717967,0.008647776517448065,0.010362672124613798,0.005892366420651664
systolic_bp_mean,0.003755488093199104,0.0028880765583461513,0.010454911255905473,0.005116596936119365,0.007173950230064386
