feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
uric_acid_mean,0.009808658461274681,0.02396969764837596,0.01698916370822069,0.031047050547124207,0.015167284946028823
anion_gap_max,0.00949532417756966,0.03431872966904345,0.013123968726863746,0.020716180891584928,0.01825057032533284
spo2_lab_mean,0.009452911611763317,0.015440151896427213,0.020354854761048334,0.023528455929314657,0.016190677719222155
gender,0.009287331284689053,0.024579374325701224,0.017379297278954767,0.01880286573229519,0.017237173037811363
hemoglobin_min,0.009262975868170018,0.022675575290843304,0.025035897851469147,0.013702844712669589,0.013395663044554045
alc_first,0.009220633275062014,0.016689477628136322,0.014323429706073032,0.019573657468660847,0.021408312296155203
map_first,0.009115380007336506,0.008114532681512188,0.022628950046808607,0.014815316303031668,0.01838516640752781
pco2_first,0.008993976554387646,0.025922633951105705,0.01748515466265119,0.01951719028693549,0.014977025448199828
urea_min,0.008591472671930082,0.012539379666144388,0.01896997208512793,0.02452527776544311,0.013414197158044061
alc_max,0.00856498454219021,0.019465475888883536,0.011246962277734838,0.017439298977719387,0.020792096931260287
resp_rate_trend,0.007996775915791475,0.022943802526202775,0.013743324306154648,0.01923516787079279,0.014061687053511495
map_min,0.007990288075019693,0.007992854066972251,0.018224394786724645,0.00981567437041141,0.018565367261571084
uric_acid_max,0.007677324513894261,0.021223408231870942,0.01384618972298863,0.023247646087921205,0.011150630228857551
base_excess_first,0.007674410106416901,0.018225614610796904,0.012709545955739605,0.01734172541822666,0.015463598211240229
sodium_max,0.007645021785353961,0.027134756300516337,0.0132159802475206,0.02040207440665912,0.011027805742208787
platelets_trend,0.007601855036244566,0.01232872374985337,0.012107160439528756,0.02002293347297717,0.016158398496874497
inr_mean,0.007496758713363163,0.016000809999717584,0.01379770245782182,0.016091522400114668,0.014823065666431257
albumin_min,0.0073379445126561926,0.0241481388980239,0.011800953274764473,0.013223099747196036,0.014576738604543168
anc_mean,0.007284189921864201,0.018289608947520745,0.011632689432330897,0.016922025035444425,0.014557970519585777
ldh_mean,0.007176064881937151,0.008885076749618985,0.013217642122051707,0.023008456127364022,0.012795538145396313
ldh_max,0.007029094482147315,0.008673824669522556,0.01267628142569313,0.022816429711503636,0.012650627302703348
ptt_min,0.007016788679955856,0.011684638894509655,0.019478997619697118,0.014152747775927605,0.00969000815431908
ptt_mean,0.007012721934859497,0.017713733017347542,0.01530322280144205,0.012775085373443974,0.012031255402686252
ast_mean,0.006934301749311479,0.011652213807073075,0.0114471674282062,0.020093896098583003,0.013506202158216622
anc_min,0.006865503408308417,0.014774993332831957,0.014441024301628252,0.01486360396425273,0.011969073268904527
bilirubin_min,0.006353443730502129,0.00856850154289926,0.01883862557218338,0.007386170090566684,0.010650764113399177
bicarbonate_first,0.006263853525175552,0.014645463503154429,0.011021579415738274,0.015173913422609034,0.011709529303789165
wbc_min,0.006126361630769775,0.008629678231180181,0.012997173116286526,0.014631642461620247,0.011314713641269153
wbc_max,0.0061127019300658055,0.014090217261720236,0.01033645061882716,0.016337009000691242,0.011187057823763086
anc_first,0.00599404019204347,0.014634687311494598,0.009158725950428237,0.014258006400335652,0.012304885677870208
inr_first,0.00599029158780758,0.016200245249486496,0.009648493030680457,0.012622834867330492,0.012119606803531448
ast_first,0.005904753821557989,0.011450649239015889,0.009752983598385745,0.016792981640303007,0.011192060865905157
ast_max,0.005765452841597926,0.009797616211941487,0.009703808661362187,0.01875764817154006,0.010169773348805719
potassium_min,0.005737853430138123,0.010913877410654813,0.011284838886784793,0.01279821479840291,0.010914638538361159
hematocrit_max,0.005615098222827009,0.011354363449426173,0.012281081439615016,0.009991491249292444,0.010524245997720068
sodium_trend,0.005586039921210096,0.010374500382632722,0.010263564169760458,0.011000320334926728,0.011925597203101566
bicarbonate_mean,0.005585978077024053,0.015629662692780218,0.01109902152252709,0.0163841836707964,0.007423820208077776
alc_mean,0.005443890177863312,0.013149704663386844,0.007589494462715232,0.010452006050188485,0.012890279882182061
pt_min,0.005433429038314222,0.013244543278432785,0.00914103644995732,0.0114511104685474,0.011081633452311442
hemoglobin_first,0.005428425338916961,0.01620212913543058,0.01120758799931213,0.008930516059095802,0.009541347392535125
creatinine_min,0.004870043316246918,0.009065549410637742,0.01447716958601077,0.010975459189307197,0.0051559067304189615
ptt_first,0.0047527873975369665,0.01888625827570551,0.008219690017844996,0.0089757875851515,0.007849498345143553
alc_min,0.0046681010964419595,0.011180808525372132,0.007650362444086619,0.009220208621280606,0.010011082477148372
base_excess_mean,0.004264162652045146,0.011253782560456522,0.008697692860946665,0.010958067113290422,0.00633131702870075
hemoglobin_mean,0.004128553181301548,0.012828233910489793,0.011725966592523802,0.005608082727582339,0.004923793032245161
bilirubin_first,0.003895116897471733,0.00559456422380723,0.01052699621848555,0.004728813244037949,0.007205440865095295
urea_max,0.0037293342548051075,0.005173187766260253,0.008266388702603657,0.008516684277625277,0.00677858928420184
bilirubin_mean,0.0036583286030450104,0.005302509299683265,0.009800982283505092,0.004071924634064437,0.006982987102072091
spo2_first,0.0034849201355627076,0.00541257627880536,0.008422980092214014,0.0076794736368851445,0.0056998691723493845
urine_output_total_ml,0.003367290859307653,0.0029808797255702272,0.0026474081179187784,0.007159014878394903,0.010879381650347963
urine_output_per_hour,0.003300583506153457,0.0019113548651080309,0.0020699468285767003,0.012671060802402283,0.008991731745010405
wbc_mean,0.0032189208543286357,0.006485877780576731,0.006015522954904524,0.00713056012080934,0.006304508765072268
rr_abnormal_for_age,0.003168418524360588,0.009463783720315404,0.00420919295569835,0.014612698348530977,0.0035304172221971367
spo2_min,0.0030674208466064537,0.006118464682255058,0.0061948282818090296,0.006639932687766597,0.005702968979109207
urea_mean,0.002983344914231348,0.004562710357182854,0.005050375175610874,0.009867846298333741,0.005314916429328772
alt_max,0.002974657372509738,0.005209250005251013,0.004099787426720351,0.009404761277300184,0.006080891203551465
symptom_edema,0.0029371682625264008,0.004436524721772003,0.007049621016983109,0.004657031108760748,0.005653369401079236
anion_gap_first,0.002850720085097699,0.006569223519268563,0.0046269113161353775,0.004324009146386762,0.006781257517463335
potassium_trend,0.0027776030746548414,0.005089291382619513,0.006771995629396988,0.0035135510728458693,0.005379403755064347
spo2_mean,0.0022427870061126724,0.005273676272019986,0.004779185998152372,0.003464866500039193,0.0043209338773726284
symptom_fever,0.002032986938776779,0.005507482584700484,0.003858166363446193,0.006882493899094139,0.0025152100267275086
creatinine_max,0.0019749491017923017,0.0031590680145010355,0.005138794832325741,0.005590229276448119,0.0023703871719636485
spo2_lab_max,0.0019272059570792748,0.004113366760043773,0.004188106600725646,0.0031982439362030703,0.0036708331749451314
