column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
diastolic_bp_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
diastolic_bp_first,float64,9957,0,0.0,103,12.0,155.0,58.9402,59.0,9.7878,0.0,"{59.0: 6461, 56.0: 129, 62.0: 108, 65.0: 106, 52.0: 99}",
diastolic_bp_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
diastolic_bp_count,int64,9957,0,0.0,15,0.0,16.0,0.573,0.0,1.0008,64.1,"{0: 6380, 1: 2265, 2: 835, 3: 320, 4: 83}",
heart_rate_max,float64,9957,0,0.0,149,30.0,296.0,139.0125,140.0,16.6672,0.0,"{140.0: 5787, 160.0: 140, 148.0: 134, 150.0: 131, 130.0: 129}",
heart_rate_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.437,0.0,0.496,56.3,"{0: 5606, 1: 4351}",
heart_rate_min,float64,9957,0,0.0,149,17.0,250.0,122.3374,123.0,17.3823,0.0,"{123.0: 5628, 130.0: 154, 140.0: 148, 120.0: 134, 128.0: 129}",
heart_rate_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.437,0.0,0.496,56.3,"{0: 5606, 1: 4351}",
heart_rate_mean,float64,9957,0,0.0,933,30.0,250.0,130.1046,130.8,15.6392,0.0,"{130.8: 5607, 140.0: 129, 130.0: 105, 138.0: 86, 136.0: 83}",
heart_rate_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.437,0.0,0.496,56.3,"{0: 5606, 1: 4351}",
heart_rate_first,float64,9957,0,0.0,152,17.0,286.0,131.3908,132.0,17.3408,0.0,"{132.0: 5725, 140.0: 184, 130.0: 145, 138.0: 128, 120.0: 124}",
heart_rate_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.437,0.0,0.496,56.3,"{0: 5606, 1: 4351}",
heart_rate_count,int64,9957,0,0.0,10,0.0,9.0,1.2976,0.0,2.1472,56.3,"{0: 5606, 1: 2111, 6: 748, 2: 594, 7: 418}",
resp_rate_max,float64,9957,0,0.0,63,10.0,100.0,35.6941,34.0,9.631,0.0,"{34.0: 4771, 30.0: 618, 28.0: 364, 32.0: 342, 24.0: 324}",
resp_rate_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5439,1.0,0.4981,45.6,"{1: 5416, 0: 4541}",
resp_rate_min,float64,9957,0,0.0,60,1.0,100.0,29.8483,28.0,8.9712,0.0,"{28.0: 4876, 30.0: 522, 20.0: 504, 24.0: 486, 22.0: 390}",
resp_rate_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5439,1.0,0.4981,45.6,"{1: 5416, 0: 4541}",
resp_rate_mean,float64,9957,0,0.0,765,10.0,100.0,32.2661,30.0,9.0617,0.0,"{30.0: 4847, 24.0: 218, 28.0: 196, 26.0: 189, 22.0: 145}",
resp_rate_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5439,1.0,0.4981,45.6,"{1: 5416, 0: 4541}",
resp_rate_first,float64,9957,0,0.0,62,1.0,100.0,32.189,30.0,9.3454,0.0,"{30.0: 5315, 28.0: 395, 24.0: 365, 26.0: 326, 20.0: 285}",
resp_rate_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5439,1.0,0.4981,45.6,"{1: 5416, 0: 4541}",
resp_rate_count,int64,9957,0,0.0,28,0.0,31.0,2.0701,1.0,3.1895,45.6,"{0: 4541, 1: 1885, 2: 932, 6: 619, 7: 489}",
temperature_max,float64,9957,0,0.0,88,30.6,42.0,37.1363,37.1,0.6159,0.0,"{37.1: 4836, 37.0: 514, 37.2: 372, 36.8: 332, 36.9: 330}",
temperature_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5501,1.0,0.4975,45.0,"{1: 5477, 0: 4480}",
temperature_min,float64,9957,0,0.0,90,30.4,40.5,36.485,36.5,0.6515,0.0,"{36.5: 4891, 36.0: 615, 37.0: 324, 36.8: 314, 36.7: 302}",
temperature_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5501,1.0,0.4975,45.0,"{1: 5477, 0: 4480}",
temperature_mean,float64,9957,0,0.0,640,30.6,40.6125,36.8505,36.85,0.5455,0.0,"{36.85: 4527, 37.0: 240, 36.7: 232, 36.9: 227, 36.8: 223}",
temperature_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5501,1.0,0.4975,45.0,"{1: 5477, 0: 4480}",
temperature_first,float64,9957,0,0.0,90,30.4,41.2,36.6714,36.7,0.6766,0.0,"{36.7: 4785, 36.0: 453, 37.0: 385, 36.5: 341, 36.8: 335}",
temperature_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.5501,1.0,0.4975,45.0,"{1: 5477, 0: 4480}",
temperature_count,int64,9957,0,0.0,23,0.0,26.0,1.8639,1.0,2.6691,45.0,"{0: 4480, 1: 1984, 2: 1059, 6: 570, 7: 488}",
map_max,float64,9957,0,0.0,280,22.0,168.0,73.9554,74.3,10.3365,0.0,"{74.3: 6407, 70.0: 45, 76.7: 44, 73.3: 41, 76.0: 40}",
map_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
map_min,float64,9957,0,0.0,268,21.0,151.7,69.7847,70.0,9.8351,0.0,"{70.0: 6432, 76.7: 52, 75.3: 48, 74.7: 47, 71.3: 46}",
map_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
map_mean,float64,9957,0,0.0,844,22.0,159.85,72.1486,72.65,9.7768,0.0,"{72.65: 6382, 70.0: 39, 76.7: 37, 76.0: 35, 74.7: 35}",
map_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
map_first,float64,9957,0,0.0,279,22.0,168.0,72.9027,73.3,10.4312,0.0,"{73.3: 6422, 76.7: 46, 70.0: 45, 75.3: 43, 74.7: 40}",
map_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
map_count,int64,9957,0,0.0,15,0.0,16.0,0.5729,0.0,1.0007,64.1,"{0: 6380, 1: 2266, 2: 834, 3: 320, 4: 83}",
shock_index,float64,9957,0,0.0,2002,0.4628,4.4706,1.2916,1.265,0.2606,0.0,"{1.265: 7691, 1.0: 8, 1.4286: 5, 1.2778: 5, 1.3333: 5}",
shock_index_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2277,0.0,0.4194,77.2,"{0: 7690, 1: 2267}",
lactate_trend,float64,9957,0,0.0,248,-22.2,26.7,-0.5362,-0.4,2.1066,2.6,"{-0.4: 2723, -0.3: 327, -0.5: 303, -0.1: 294, -0.2: 291}",
lactate_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7547,1.0,0.4303,24.5,"{1: 7515, 0: 2442}",
platelets_trend,float64,9957,0,0.0,619,-676.0,740.0,4.1645,4.0,75.1385,0.5,"{4.0: 3919, -3.0: 63, 8.0: 63, 5.0: 58, 13.0: 56}",
platelets_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6131,1.0,0.4871,38.7,"{1: 6105, 0: 3852}",
creatinine_trend,float64,9957,0,0.0,295,-13.552,19.3552,0.1146,0.1176,0.3059,3.4,"{0.1176: 7079, 0.0: 342, 0.1923: 96, 0.1697: 95, 0.2149: 90}",
creatinine_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2891,0.0,0.4534,71.1,"{0: 7078, 1: 2879}",
bilirubin_trend,float64,9957,0,0.0,641,-24.3977,11.6374,0.2732,0.2222,1.0295,3.7,"{0.2222: 7282, 0.0: 369, -0.0585: 24, 0.1754: 24, 0.2339: 23}",
bilirubin_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2691,0.0,0.4435,73.1,"{0: 7278, 1: 2679}",
inr_trend,float64,9957,0,0.0,239,-15.47,4.66,-0.0688,-0.05,0.3087,1.2,"{-0.05: 7138, 0.0: 123, 0.03: 98, 0.02: 93, -0.03: 93}",
inr_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2932,0.0,0.4552,70.7,"{0: 7038, 1: 2919}",
wbc_trend,float64,9957,0,0.0,2208,-168.51,75.74,1.9397,1.85,5.3626,0.1,"{1.85: 3872, 0.41: 17, 0.54: 12, 4.12: 12, -1.55: 11}",
wbc_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6119,1.0,0.4873,38.8,"{1: 6093, 0: 3864}",
hemoglobin_trend,float64,9957,0,0.0,938,-18.56,21.9,0.7934,-0.09,3.8559,1.9,"{-0.09: 1051, -0.9: 209, 0.1: 206, -0.3: 206, -0.1: 204}",
glucose_trend,float64,9957,0,0.0,484,-1017.0,826.2,-11.0415,-7.2,66.9122,1.3,"{-7.2: 2787, -1.8: 146, 0.0: 131, -5.4: 119, -10.8: 119}",
glucose_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7315,1.0,0.4432,26.8,"{1: 7284, 0: 2673}",
ph_trend,float64,9957,0,0.0,669,-0.81,0.764,0.0371,0.031,0.0961,4.8,"{0.031: 2023, 0.0: 474, 0.02: 46, 0.009: 42, 0.021: 40}",
base_excess_trend,float64,9957,0,0.0,338,-47.5,35.7,1.3472,0.7,3.7808,1.9,"{0.7: 1067, -0.2: 201, 0.1: 199, 0.0: 191, -0.4: 182}",
sodium_trend,float64,9957,0,0.0,70,-43.0,49.0,-0.3785,-1.0,4.7986,7.4,"{-1.0: 3187, 0.0: 737, -2.0: 718, 1.0: 646, -3.0: 595}",
sodium_trend_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7568,1.0,0.4291,24.3,"{1: 7535, 0: 2422}",
potassium_trend,float64,9957,0,0.0,87,-6.9,7.3,0.1182,0.1,0.696,4.5,"{0.1: 2898, 0.3: 473, 0.0: 451, 0.4: 421, 0.2: 416}",
