column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
potassium_mean,float64,2530,0,0.0,372,1.45,10.7,3.828,3.75,0.5795,0.0,"{3.7: 99, 3.75: 98, 3.5: 86, 3.9: 82, 3.8: 81}",
potassium_first,float64,2530,0,0.0,60,1.2,11.0,3.7891,3.7,0.7395,0.0,"{3.7: 223, 3.5: 179, 3.6: 174, 3.8: 151, 3.9: 149}",
potassium_count,int64,2530,0,0.0,16,0.0,16.0,3.2395,3.0,2.0196,2.7,"{3: 603, 2: 552, 1: 394, 4: 382, 5: 214}",
calcium_max,float64,2530,0,0.0,191,0.74,3.95,1.8041,1.99,0.4968,0.0,"{1.99: 76, 1.28: 44, 2.22: 43, 2.25: 42, 1.23: 42}",
calcium_min,float64,2530,0,0.0,103,0.37,2.49,1.0994,1.12,0.1456,0.0,"{1.12: 159, 1.13: 101, 1.1: 91, 1.17: 90, 1.15: 86}",
calcium_mean,float64,2530,0,0.0,884,0.6975,2.745,1.3432,1.31,0.2212,0.0,"{1.31: 82, 1.23: 30, 1.24: 22, 1.15: 21, 1.25: 21}",
calcium_first,float64,2530,0,0.0,125,0.42,2.87,1.1904,1.2,0.185,0.0,"{1.2: 150, 1.21: 95, 1.22: 93, 1.23: 87, 1.24: 81}",
calcium_count,int64,2530,0,0.0,18,0.0,18.0,3.9787,4.0,2.2722,2.5,"{3: 526, 4: 435, 2: 435, 5: 328, 6: 228}",
albumin_max,float64,2530,0,0.0,310,6.0,57.4,35.4362,35.8,5.1982,0.0,"{35.8: 1021, 31.7: 15, 34.5: 15, 32.9: 15, 37.2: 14}",
albumin_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.5996,1.0,0.4901,40.0,"{1: 1517, 0: 1013}",
albumin_min,float64,2530,0,0.0,309,6.0,57.4,35.2367,35.6,5.1873,0.0,"{35.6: 1022, 37.2: 15, 32.9: 15, 34.5: 15, 31.7: 15}",
albumin_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.5996,1.0,0.4901,40.0,"{1: 1517, 0: 1013}",
